,upc,department,product_name,crv_by_05_cents,sell_price,size,upce,has_crv,has_sugar_tax,has_sales_tax,sugar_tax,contains_promotion,img
4989,853016002281,Food,Country Archer:Beef Jerky: Hatch Chile,1.0,7.19,3oz,0,False,False,False,0,False,
4995,853016002892,Food,Country Archer:Turkey Jerky: Hickory Smoked ,1.0,7.19,2.75oz,0,False,False,False,0,False,
4996,853016002908,Food,Beef Jerky Teriyaki,1.0,7.19,,0,False,False,False,0,False,
4997,853016002915,Food,Country Archer:Beef Jerky: Crushed Red Pepper ,1.0,7.19,3oz,0,False,False,False,0,False,
4998,853016002960,Food,Country Archer:Beef Jerky: Mango Habanero,1.0,7.19,3oz,0,False,False,False,0,False,
5259,894693002058,Food,Cheese Quakes: Original SF,1.0,6.29,,0,False,False,False,0,False,
5264,894693002485,Food,Cheese Quakes Bourbon Vanilla Bean ,1.0,6.29,,0,False,False,False,0,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png
5265,894693002492,Food,CheeseQuakes: Lemon Champagne,1.0,6.29,4.25oz,0,False,False,False,0,False,
5269,894693002645,Food,Cheese q choco,1.0,6.69,,0,False,False,False,0,False,
5271,894693002898,Food,CheeseQuakes: Strawberry Swirl,1.0,6.69,4.25oz,0,False,False,False,0,False,
5324,11259904209,Water/Juices,Taste Nirvana:Real Coconut Water Can ,1.0,3.94,16.2 fl. oz.,01142029,True,False,False,0,False,
5325,11259904223,Water/Juices,Taste Nirvana:Real Coconut Water With Pulp Can ,1.0,3.94,16.2 fl. oz.,01142223,True,False,False,0,False,
5419,41755009610,Water/Juices,Langer: Orange,2.0,8.99,3.78 L,,True,True,False,0,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png
5448,52000042313,Sports Drinks,Gat zeto Lemon Lime,2.0,2.89,28OZ,05223103,True,True,False,0,False,
5449,52000042320,Sports Drinks,GAT ZRO ORG,2.0,2.89,28OZ,05223200,True,True,False,0,False,
5450,52000042337,Sports Drinks,GAT ZERO FT PNCH,2.0,2.89,28OZ,05223307,True,True,False,0,False,
5451,52000042344,Sports Drinks,GAT ZRO GLCR CHE,2.0,2.89,28OZ,05223404,True,True,False,0,False,
5455,52000043273,Sports Drinks,GAT ZERO GRP,2.0,2.89,28OZ,05232703,True,True,False,0,False,
5456,52000043280,Sports Drinks,GAT GLACIER FREEZE ZERO,2.0,2.89,28oz,05232800,True,True,False,0,False,
5462,52000103670,Sports Drinks,Gatorade Thirst Quencher Frost Glacier Cherry,2.0,2.89,24 oz,05236700,True,True,False,0,False,
5472,52000241204,Sports Drinks,Gatorade G Series 02 Perform:Lemon-Lime,2.0,2.89,24.00 FL OZ,05212004,True,True,False,0,False,https://pics.drugstore.com/prodimg/416798/450.jpg
5473,52000241211,Sports Drinks,Gatorade:Fruit Punch,2.0,2.89,24.00 FL OZ,05212101,True,True,False,0,False,https://pics.drugstore.com/prodimg/416799/450.jpg
5474,52000241235,Sports Drinks,Gatorade G Series 02 Perform:Cool Blue,2.0,2.89,24.00 FL OZ,05212305,True,True,False,0,False,https://pics.drugstore.com/prodimg/416800/450.jpg
5535,76183003138,Water/Juices,Snapple Fruit Punch,1.0,2.29,16oz,,True,True,False,0,False,
5536,76183323786,Sports Drinks,Snapple Raspberry Tea,2.0,3.29,32.00 OZ,,True,True,False,0,False,
5543,82592011343,Water/Juices,Naked Proten Peach Mango,1.0,4.59,,,True,True,False,0,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png
5545,82592194640,Water/Juices,Naked Juice:Strawberry Banana,2.0,8.89,64.00 OZ,,True,True,False,0,False,
5547,82592631954,Water/Juices,Naked Juice:Protein Zone Double Berry,1.0,4.59,15.20 OZ,,True,True,False,0,False,
5557,82592722157,Water/Juices,Naked Juice:Protein Zone,1.0,4.49,15.20 FL OZ,,True,True,False,0,False,
5647,786162005311,Water/Juices,VITAMIN WATER 20 OZ ICE COOL BLUEBERRTY,1.0,2.94,20 oz,0,True,True,False,0,False,
5653,786162150004,Water/Juices,VitaminWater XXX  Acai-Blueberry-Pomegranate,1.0,2.94,20.00 FL OZ,0,True,False,False,0,False,
5654,786162200433,Water/Juices,Glaceau Smart Water:Electrolyte Enhanced Water,1.0,2.29,20.00 FL OZ,0,True,False,False,0,False,
5746,859078002924,Water/Juices,Harmlss Hrvst Org. Coconut Water,1.0,4.09,14oz,0,True,False,False,0,False,
